2018-05-03 11:53:56.165 [main] DEBUG com.project.plan.config.listener.ApplicationEventListener - 初始化环境变量
2018-05-03 11:53:56.549 [main] INFO  com.project.plan.PlanApplicationTests - Starting PlanApplicationTests on MS-F0133-SH1SW with PID 39576 (started by yingjing.liu in D:\rgk_project_info_system\ProjectPlan)
2018-05-03 11:53:56.550 [main] DEBUG com.project.plan.PlanApplicationTests - Running with Spring Boot v1.5.9.RELEASE, Spring v4.3.13.RELEASE
2018-05-03 11:53:56.551 [main] INFO  com.project.plan.PlanApplicationTests - The following profiles are active: dev
2018-05-03 11:53:56.693 [main] DEBUG com.project.plan.config.listener.ApplicationEventListener - 初始化环境变量完成
2018-05-03 11:54:00.262 [background-preinit] DEBUG org.jboss.logging - Logging Provider: org.jboss.logging.Slf4jLoggerProvider found via system property
2018-05-03 11:54:06.777 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-05-03 11:54:28.873 [main] DEBUG com.project.plan.config.listener.ApplicationEventListener - 应用刷新
2018-05-03 11:54:28.882 [main] DEBUG com.project.plan.config.listener.ApplicationEventListener - 应用已启动完成
2018-05-03 11:54:28.883 [main] INFO  com.project.plan.PlanApplicationTests - Started PlanApplicationTests in 33.034 seconds (JVM running for 34.375)
2018-05-03 11:54:30.796 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.797 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.797 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.797 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.798 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.800 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.801 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.801 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.801 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.803 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.804 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.804 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.805 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.807 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.807 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.809 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.812 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.813 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.813 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.816 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:30.816 [main] INFO  com.project.plan.common.utils.LDAPControl - Ignore error:java.lang.NullPointerException
2018-05-03 11:54:31.512 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.767 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.775 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.776 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.778 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.779 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.781 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.782 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.901 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.903 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.904 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.905 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.907 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.908 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.911 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2018-05-03 11:54:31.912 [main] DEBUG org.hibernate.SQL - insert into tb_user (address, birthday, create_time, delete_status, description, email, locked, nick_name, password, sex, telephone, update_time, user_name) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
